FOD1P,total,men,women,total median,women median,men median,Major,Major_Category
6004.0,115696,38688,77008,40000,40000,41654,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
6005.0,47323,23332,23991,37000,35000,38737,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
6006.0,17417,2117,15300,45000,46000,29660,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
6007.0,20149,4593,15556,38892,35000,41448,STUDIO ARTS,Arts
6099.0,9430,5222,4208,35086,34625,37045,MISCELLANEOUS FINE ARTS,Arts
6100.0,67453,18026,49427,40000,38000,46212,GENERAL MEDICAL AND HEALTH SERVICES,Health
6102.0,47882,1430,46452,44414,42883,56617,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
6103.0,37946,9240,28706,40000,40000,45034,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
6104.0,12893,1669,11224,36000,36812,26408,MEDICAL ASSISTING SERVICES,Health
6105.0,21716,4603,17113,48000,45000,60000,MEDICAL TECHNOLOGIES TECHNICIANS,Health
6106.0,15425,6987,8438,40000,49149,34220,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
6107.0,319042,39423,279619,52000,52000,53000,NURSING,Health
6108.0,26405,10775,15630,57090,65395,40000,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
6109.0,66390,20759,45631,45000,45000,45685,TREATMENT THERAPY PROFESSIONS,Health
6110.0,53003,10652,42351,40000,40000,39000,COMMUNITY AND PUBLIC HEALTH,Health
6199.0,18895,1744,17151,39023,40000,26218,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
6200.0,263656,153067,110589,45000,44394,45000,GENERAL BUSINESS,Business
6201.0,234242,117518,116724,54000,53000,54000,ACCOUNTING,Business
6202.0,7258,4472,2786,60000,74241,50941,ACTUARIAL SCIENCE,Business
6203.0,319427,178533,140894,45000,41108,46000,BUSINESS MANAGEMENT AND ADMINISTRATION,Business
6204.0,24662,13580,11082,51000,50000,52000,OPERATIONS LOGISTICS AND E-COMMERCE,Business
6205.0,14373,8614,5759,54928,58017,50000,BUSINESS ECONOMICS,Business
6206.0,218713,86404,132309,45000,45751,45000,MARKETING AND MARKETING RESEARCH,Business
6207.0,203420,139817,63603,55000,55000,56000,FINANCE,Business
6209.0,30053,8674,21379,44000,44965,42016,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
6210.0,30285,13402,16883,50000,46679,56349,INTERNATIONAL BUSINESS,Business
6211.0,53636,15212,38424,40000,39000,43583,HOSPITALITY MANAGEMENT,Business
6212.0,27185,19067,8118,60000,55000,63000,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
6299.0,24694,13837,10857,47792,43000,50000,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
6402.0,119655,68937,50718,40000,37000,42000,HISTORY,Humanities & Liberal Arts
6403.0,2075,1676,399,43023,23360,46381,UNITED STATES HISTORY,Humanities & Liberal Arts
