FOD1P,total,men,women,total median,women median,men median,Major,Major_Category
1100.0,13886,8044,5842,31878,23945,36636,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,21527,13204,8323,40000,34791,42684,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,3541,2200,1341,44020,45303,45431,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,34443,7448,26995,30428,30117,35012,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,11261,2365,8896,45000,44181,45000,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,10505,6895,3610,34307,28295,37067,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,584,146,438,22592,20000,40000,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,4507,1230,3277,44683,47220,45971,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,54811,23816,30995,38382,36145,40000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,4406,3558,848,35093,51811,33896,FORESTRY,Agriculture & Natural Resources
1303.0,23423,12289,11134,36533,32000,39886,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,51745,26334,25411,48000,49000,48000,ARCHITECTURE,Engineering
1501.0,33107,9285,23822,47914,46464,47898,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,246814,85671,161143,40000,40000,40000,COMMUNICATIONS,Communications & Journalism
1902.0,76823,22049,54774,40000,40000,40000,JOURNALISM,Communications & Journalism
1903.0,74811,34553,40258,38000,39441,38000,MASS MEDIA,Communications & Journalism
1904.0,57934,15212,42722,42000,44425,40000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,23592,13765,9827,43601,40000,45000,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,69072,48225,20847,50079,54646,50000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,4977,3763,1214,55129,46255,58557,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,218913,166588,52325,70000,68857,70000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,22428,17343,5085,62000,64987,62000,INFORMATION SCIENCES,Computers & Mathematics
2106.0,12989,9318,3671,50000,62036,50000,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,8848,6452,2396,49400,36566,50000,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,13477,4602,8875,28308,24657,35590,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,145031,28781,116250,40000,40000,40000,GENERAL EDUCATION,Education
2301.0,1165,245,920,41027,37904,43000,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,2308,119,2189,40756,40756,-1,SCHOOL STUDENT COUNSELING,Education
2304.0,128804,10278,118526,38000,38000,37308,ELEMENTARY EDUCATION,Education
2305.0,13668,4612,9056,42077,40000,45696,MATHEMATICS TEACHER EDUCATION,Education
2306.0,20805,10299,10506,40000,36000,42000,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,41024,1030,39994,36000,36000,25375,EARLY CHILDHOOD EDUCATION,Education
2308.0,6218,2487,3731,37690,33807,40426,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309.0,14532,7015,7517,41489,40000,45000,SECONDARY TEACHER EDUCATION,Education
2310.0,30410,2567,27843,42000,42000,44368,SPECIAL NEEDS EDUCATION,Education
2311.0,17177,8595,8582,40525,40574,40217,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
2312.0,14425,2599,11826,38544,39517,37797,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313.0,27882,3054,24828,40000,40000,38647,LANGUAGE AND DRAMA EDUCATION,Education
2314.0,33917,11415,22502,42000,40000,42416,ART AND MUSIC EDUCATION,Education
2399.0,8176,2008,6168,35000,35000,26153,MISCELLANEOUS EDUCATION,Education
2400.0,86144,64382,21762,60000,54761,60000,GENERAL ENGINEERING,Engineering
2401.0,23149,19058,4091,65000,74743,65000,AEROSPACE ENGINEERING,Engineering
2402.0,14009,7860,6149,49328,37161,56839,BIOLOGICAL ENGINEERING,Engineering
2403.0,2543,1332,1211,50925,52498,52357,ARCHITECTURAL ENGINEERING,Engineering
2404.0,23100,13163,9937,60000,64095,59223,BIOMEDICAL ENGINEERING,Engineering
2405.0,56673,36000,20673,69000,69878,66722,CHEMICAL ENGINEERING,Engineering
2406.0,71261,52302,18959,60000,54669,60000,CIVIL ENGINEERING,Engineering
2407.0,69449,54766,14683,70000,60000,70000,COMPUTER ENGINEERING,Engineering
2408.0,114543,88775,25768,71000,69135,72000,ELECTRICAL ENGINEERING,Engineering
2409.0,4769,3792,977,69480,77038,63173,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410.0,11339,6102,5237,60000,58056,60643,ENVIRONMENTAL ENGINEERING,Engineering
2411.0,753,416,337,84800,129000,68000,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412.0,27425,16016,11409,64000,65000,63000,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413.0,4927,4329,598,62742,110000,59870,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414.0,160939,138892,22047,65000,69233,65000,MECHANICAL ENGINEERING,Engineering
2415.0,224,224,0,72903,-1,72903,METALLURGICAL ENGINEERING,Engineering
2416.0,657,553,104,58861,-1,58861,MINING AND MINERAL ENGINEERING,Engineering
2417.0,1764,1659,105,84000,24000,84000,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418.0,2998,2461,537,70000,81213,66510,NUCLEAR ENGINEERING,Engineering
2419.0,7231,6584,647,70000,111375,69752,PETROLEUM ENGINEERING,Engineering
2499.0,14389,9178,5211,63384,59749,65000,MISCELLANEOUS ENGINEERING,Engineering
2500.0,5992,3381,2611,50000,56368,50000,ENGINEERING TECHNOLOGIES,Engineering
2501.0,4541,3410,1131,45704,44167,45869,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502.0,13350,8120,5230,57680,77846,54935,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503.0,4449,4449,0,49275,-1,49275,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504.0,5297,5141,156,50000,70000,50000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599.0,9917,6919,2998,55000,49610,57061,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
2601.0,21333,5114,16219,42655,40386,46115,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2602.0,41684,10469,31215,41856,42000,38291,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
2603.0,11399,4559,6840,40000,42382,41116,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
2901.0,79784,6737,73047,35000,34000,44434,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
3201.0,1592,1170,422,45852,50000,33676,COURT REPORTING,Law & Public Policy
3202.0,17150,5657,11493,40000,39555,42606,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
3301.0,177431,47149,130282,38000,38000,38483,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
3302.0,23579,8378,15201,37428,36000,39396,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
3401.0,77965,26346,51619,35000,33000,40000,LIBERAL ARTS,Humanities & Liberal Arts
3402.0,5833,1832,4001,36012,34123,51259,HUMANITIES,Humanities & Liberal Arts
3501.0,1208,168,1040,39508,39508,-1,LIBRARY SCIENCE,Education
3600.0,391462,148903,242559,38000,35366,40000,BIOLOGY,Biology & Life Science
3601.0,55646,26439,29207,40138,40000,44000,BIOCHEMICAL SCIENCES,Biology & Life Science
3602.0,1673,766,907,29695,22974,33708,BOTANY,Biology & Life Science
3603.0,18692,9105,9587,31449,31437,31948,MOLECULAR BIOLOGY,Biology & Life Science
3604.0,20955,7239,13716,35000,38492,30000,ECOLOGY,Biology & Life Science
3605.0,4084,1651,2433,34000,37319,34000,GENETICS,Biology & Life Science
3606.0,15411,6810,8601,40000,42000,35853,MICROBIOLOGY,Biology & Life Science
3607.0,1045,586,459,64767,43380,136666,PHARMACOLOGY,Biology & Life Science
3608.0,38169,13270,24899,40150,42259,40000,PHYSIOLOGY,Biology & Life Science
3609.0,8075,2373,5702,32000,32148,29573,ZOOLOGY,Biology & Life Science
3611.0,25613,9752,15861,36585,34700,37982,NEUROSCIENCE,Biology & Life Science
3699.0,18956,5983,12973,31575,30000,35603,MISCELLANEOUS BIOLOGY,Biology & Life Science
3700.0,101594,59387,42207,50000,50000,50000,MATHEMATICS,Computers & Mathematics
3701.0,9468,5253,4215,50000,52441,40851,APPLIED MATHEMATICS,Computers & Mathematics
3702.0,17680,9132,8548,54385,57315,54000,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
4000.0,18345,5964,12381,38000,36930,52615,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
4001.0,30942,11649,19293,43000,41353,45000,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
4002.0,27351,2615,24736,45739,46000,45000,NUTRITION SCIENCES,Health
4005.0,2375,1867,508,46850,28562,71066,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
4006.0,6029,2781,3248,48886,48384,57333,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
4007.0,12579,3373,9206,40730,41027,41090,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
4101.0,224762,114017,110745,37000,38000,36000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
4801.0,42339,27444,14895,42000,40000,42208,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
4901.0,32927,21504,11423,33486,31412,35000,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
5000.0,929,313,616,68967,-1,68967,PHYSICAL SCIENCES,Physical Sciences
5001.0,2985,2262,723,45565,29648,61638,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
5002.0,5605,3432,2173,38648,40970,37383,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
5003.0,80842,39859,40983,39412,40835,36000,CHEMISTRY,Physical Sciences
5004.0,23160,14585,8575,45000,37105,47000,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005.0,2227,1791,436,50348,55619,50282,GEOSCIENCES,Physical Sciences
5006.0,4390,2323,2067,48372,50776,34120,OCEANOGRAPHY,Physical Sciences
5007.0,39494,29553,9941,45535,39543,47435,PHYSICS,Physical Sciences
5008.0,8803,6575,2228,58000,63497,58000,MATERIALS SCIENCE,Engineering
5098.0,66589,30225,36364,37000,40000,35000,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102.0,3370,471,2899,52000,46538,86979,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200.0,488431,110298,378133,36000,36000,38000,PSYCHOLOGY,Psychology & Social Work
5201.0,2274,558,1716,35000,36760,35000,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202.0,3310,647,2663,27612,26187,75913,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203.0,5114,868,4246,33122,38173,31366,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205.0,3719,1968,1751,44946,60000,41235,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206.0,1657,652,1005,42698,45487,44697,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299.0,13044,2435,10609,36377,35000,48150,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5301.0,222099,123221,98878,37000,35000,40000,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401.0,8678,5789,2889,35753,39479,35000,PUBLIC ADMINISTRATION,Law & Public Policy
5402.0,9485,4486,4999,50000,53863,42524,PUBLIC POLICY,Law & Public Policy
5403.0,15357,1049,14308,38892,39010,36555,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404.0,90477,10156,80321,38000,38000,36466,SOCIAL WORK,Psychology & Social Work
5500.0,12685,6864,5821,31129,41532,25372,GENERAL SOCIAL SCIENCES,Social Science
5501.0,165555,107973,57582,57645,54184,58000,ECONOMICS,Social Science
5502.0,39373,12828,26545,36628,34427,45000,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
5503.0,30417,14295,16122,39000,36569,39953,CRIMINOLOGY,Social Science
5504.0,17552,10293,7259,41703,41832,41445,GEOGRAPHY,Social Science
5505.0,33743,14900,18843,48000,50000,42381,INTERNATIONAL RELATIONS,Social Science
5506.0,175689,97937,77752,42000,42548,41000,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507.0,108563,30062,78501,39000,40000,36313,SOCIOLOGY,Social Science
5599.0,4738,2528,2210,35331,35309,35587,MISCELLANEOUS SOCIAL SCIENCES,Social Science
5601.0,16101,14484,1617,60000,39930,60857,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
5701.0,3619,3179,440,52507,40000,53373,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
5901.0,17340,14731,2609,45000,45000,43809,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
6000.0,75830,24476,51354,36756,37568,35975,FINE ARTS,Arts
6001.0,50041,21446,28595,36418,35000,39292,DRAMA AND THEATER ARTS,Arts
6002.0,68919,36830,32089,34735,34125,36000,MUSIC,Arts
6003.0,20966,3350,17616,35000,35000,30699,VISUAL AND PERFORMING ARTS,Arts
