FOD1P,total,men,women,total median,women median,men median,Major,Major_Category
1100.0,11162,6490,4672,34000,30375,34463,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,14662,9810,4852,38000,34194,40000,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,2400,1759,641,36124,36442,36438,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,19482,4511,14971,30230,32000,29737,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,3481,1427,2054,27272,9333,54918,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,7562,5378,2184,29789,40000,26388,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,719,666,53,48292,55000,45600,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,2134,573,1561,36174,36024,33229,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,24848,10504,14344,37000,36000,40000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,4184,3611,573,38048,16730,40000,FORESTRY,Agriculture & Natural Resources
1303.0,13221,8151,5070,35974,34797,38229,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,48263,26666,21597,40000,39000,40000,ARCHITECTURE,Engineering
1501.0,30350,7792,22558,38432,37000,40000,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,206802,66321,140481,35000,34523,36000,COMMUNICATIONS,Communications & Journalism
1902.0,73105,24561,48544,34000,34690,32000,JOURNALISM,Communications & Journalism
1903.0,54291,25773,28518,34000,32000,35000,MASS MEDIA,Communications & Journalism
1904.0,50762,13194,37568,35000,35000,38000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,18269,11918,6351,36000,37592,35760,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,40322,29648,10674,43000,52531,42000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,3029,2214,815,42818,42853,36673,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,124791,96783,28008,54796,50000,55000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,12851,9561,3290,48000,53747,48000,INFORMATION SCIENCES,Computers & Mathematics
2106.0,7944,6803,1141,40691,43865,40000,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,7484,5128,2356,37466,33302,38305,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,10827,4377,6450,30000,23396,35000,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,138388,25524,112864,35855,35249,37018,GENERAL EDUCATION,Education
2301.0,765,593,172,21642,29616,18700,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,687,0,687,31352,31352,-1,SCHOOL STUDENT COUNSELING,Education
2304.0,179374,13615,165759,35000,35000,34570,ELEMENTARY EDUCATION,Education
2305.0,13899,3545,10354,38000,35921,38000,MATHEMATICS TEACHER EDUCATION,Education
2306.0,28369,15356,13013,34000,35000,31568,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,31387,1374,30013,32000,32000,31283,EARLY CHILDHOOD EDUCATION,Education
