FOD1P,total,men,women,total median,women median,men median,Major,Major_Category
1100.0,9001,4810,4191,38000,31140,42256,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,14632,10488,4144,35655,32120,36000,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,2061,1316,745,44066,51658,41119,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,23292,5596,17696,30000,29072,30320,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,5407,1822,3585,52607,54019,51595,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,8152,4686,3466,30000,30000,24902,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,637,292,345,20254,6140,26200,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,1170,450,720,34867,41022,24440,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,26698,10958,15740,35000,35333,34840,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,3073,2857,216,35000,28000,35000,FORESTRY,Agriculture & Natural Resources
1303.0,13872,8413,5459,35000,35000,36261,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,46340,24899,21441,40000,39451,40000,ARCHITECTURE,Engineering
1501.0,33516,8824,24692,35000,35000,30676,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,215712,70674,145038,35000,35000,35000,COMMUNICATIONS,Communications & Journalism
1902.0,73233,25644,47589,35000,35000,35000,JOURNALISM,Communications & Journalism
1903.0,54562,24798,29764,32000,32000,33706,MASS MEDIA,Communications & Journalism
1904.0,54941,12795,42146,35000,35000,40000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,20191,12797,7394,38053,35114,38329,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,34720,26033,8687,52000,50806,54000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
