FOD1P,total,men,women,total median,women median,men median,Major,Major_Category
5003.0,53372,27109,26263,40000,43718,40000,CHEMISTRY,Physical Sciences
5004.0,17684,9795,7889,39585,29984,50000,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005.0,1966,947,1019,44704,47833,26429,GEOSCIENCES,Physical Sciences
5006.0,3088,1317,1771,39120,38992,39939,OCEANOGRAPHY,Physical Sciences
5007.0,26827,21531,5296,40000,40750,40000,PHYSICS,Physical Sciences
5008.0,5903,3127,2776,52719,35866,57673,MATERIALS SCIENCE,Engineering
5098.0,45450,18946,26504,45000,42000,47397,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102.0,1013,359,654,30000,31589,85178,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200.0,334037,77022,257015,35000,35000,38582,PSYCHOLOGY,Psychology & Social Work
5201.0,1217,0,1217,38675,38675,-1,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202.0,2716,522,2194,29736,25000,41135,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203.0,5341,780,4561,40170,40812,25162,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205.0,2655,833,1822,36579,40945,32704,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206.0,476,174,302,41134,40755,41200,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299.0,8001,446,7555,32000,31163,50000,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5301.0,150185,87229,62956,37505,35000,40000,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401.0,4078,2211,1867,40028,39666,51191,PUBLIC ADMINISTRATION,Law & Public Policy
5402.0,5259,1579,3680,59610,55934,73174,PUBLIC POLICY,Law & Public Policy
5403.0,8782,801,7981,32973,34059,35192,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404.0,51019,5689,45330,34000,34328,32162,SOCIAL WORK,Psychology & Social Work
5500.0,12484,3450,9034,35810,25203,37000,GENERAL SOCIAL SCIENCES,Social Science
5501.0,105513,67930,37583,55000,53000,55000,ECONOMICS,Social Science
5502.0,36707,8528,28179,33000,36370,29835,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
5503.0,22037,11080,10957,40082,35000,50000,CRIMINOLOGY,Social Science
5504.0,13071,8299,4772,44639,44858,41987,GEOGRAPHY,Social Science
5505.0,21357,7015,14342,45000,42000,50240,INTERNATIONAL RELATIONS,Social Science
5506.0,134118,67506,66612,45000,42000,48313,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507.0,82189,24831,57358,36032,35000,43965,SOCIOLOGY,Social Science
5599.0,2553,521,2032,50444,47700,51829,MISCELLANEOUS SOCIAL SCIENCES,Social Science
5601.0,10432,9929,503,52000,50000,53835,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
5701.0,2650,2540,110,33507,-1,33507,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
5901.0,14307,11464,2843,41000,40918,41000,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
6000.0,63255,19695,43560,30000,30000,30806,FINE ARTS,Arts
6001.0,37758,14463,23295,31561,31168,32000,DRAMA AND THEATER ARTS,Arts
6002.0,56325,31736,24589,31000,32000,29882,MUSIC,Arts
6003.0,13313,2545,10768,32000,26943,51643,VISUAL AND PERFORMING ARTS,Arts
6004.0,85962,25752,60210,40000,39000,40000,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
6005.0,36848,20373,16475,31046,35000,30000,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
6006.0,14877,1578,13299,39169,39098,48322,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
6007.0,11928,3109,8819,30230,30000,35040,STUDIO ARTS,Arts
6099.0,2729,2259,470,30000,29697,28946,MISCELLANEOUS FINE ARTS,Arts
6100.0,41751,11204,30547,35000,35000,40000,GENERAL MEDICAL AND HEALTH SERVICES,Health
6102.0,32932,926,32006,49130,48376,45060,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
6103.0,19256,6094,13162,35407,35887,35392,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
6104.0,8052,1489,6563,45911,43406,45523,MEDICAL ASSISTING SERVICES,Health
6105.0,12499,2083,10416,50000,49585,50000,MEDICAL TECHNOLOGIES TECHNICIANS,Health
6106.0,10628,2981,7647,40000,42882,38128,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
6107.0,208085,23453,184632,50000,50000,55000,NURSING,Health
6108.0,26031,8726,17305,68805,65177,91474,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
6109.0,48622,13034,35588,40000,40000,45447,TREATMENT THERAPY PROFESSIONS,Health
6110.0,28800,6386,22414,35000,35000,36875,COMMUNITY AND PUBLIC HEALTH,Health
6199.0,12640,2082,10558,39591,39828,37409,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
6200.0,188033,108173,79860,45000,45000,45000,GENERAL BUSINESS,Business
6201.0,162523,81784,80739,50000,50000,54000,ACCOUNTING,Business
6202.0,3214,2488,726,58418,67372,41717,ACTUARIAL SCIENCE,Business
6203.0,228175,122127,106048,45000,40000,48000,BUSINESS MANAGEMENT AND ADMINISTRATION,Business
6204.0,15699,10529,5170,56102,60000,53606,OPERATIONS LOGISTICS AND E-COMMERCE,Business
6205.0,10329,6241,4088,56805,51173,59834,BUSINESS ECONOMICS,Business
6206.0,141024,52614,88410,41000,41000,42000,MARKETING AND MARKETING RESEARCH,Business
6207.0,126564,90507,36057,55000,52000,55000,FINANCE,Business
6209.0,17517,4492,13025,40000,39315,44410,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
6210.0,17776,8694,9082,50000,45000,54117,INTERNATIONAL BUSINESS,Business
6211.0,36620,8139,28481,37384,35321,40000,HOSPITALITY MANAGEMENT,Business
6212.0,16160,10906,5254,56133,51265,60000,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
6299.0,13861,7435,6426,50000,40000,57032,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
6402.0,100268,56211,44057,37000,36000,38000,HISTORY,Humanities & Liberal Arts
6403.0,1324,729,595,40100,42720,44807,UNITED STATES HISTORY,Humanities & Liberal Arts
